asset_id,kind,file,origin,tool,licence,notes
enemy/bat_elite/fly/3,sprite,Art/Resources/ECArt/enemies.png#enemy/bat_elite/fly/3,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bell_priest/attack/0,sprite,Art/Resources/ECArt/enemies.png#enemy/bell_priest/attack/0,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bell_priest/attack/1,sprite,Art/Resources/ECArt/enemies.png#enemy/bell_priest/attack/1,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bell_priest/attack/2,sprite,Art/Resources/ECArt/enemies.png#enemy/bell_priest/attack/2,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bell_priest/attack/3,sprite,Art/Resources/ECArt/enemies.png#enemy/bell_priest/attack/3,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bell_priest/cast/0,sprite,Art/Resources/ECArt/enemies.png#enemy/bell_priest/cast/0,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bell_priest/cast/1,sprite,Art/Resources/ECArt/enemies.png#enemy/bell_priest/cast/1,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bell_priest/cast/2,sprite,Art/Resources/ECArt/enemies.png#enemy/bell_priest/cast/2,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bell_priest/cast/3,sprite,Art/Resources/ECArt/enemies.png#enemy/bell_priest/cast/3,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bell_priest/death/0,sprite,Art/Resources/ECArt/enemies.png#enemy/bell_priest/death/0,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bell_priest/death/1,sprite,Art/Resources/ECArt/enemies.png#enemy/bell_priest/death/1,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bell_priest/death/2,sprite,Art/Resources/ECArt/enemies.png#enemy/bell_priest/death/2,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bell_priest/death/3,sprite,Art/Resources/ECArt/enemies.png#enemy/bell_priest/death/3,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bell_priest/death/4,sprite,Art/Resources/ECArt/enemies.png#enemy/bell_priest/death/4,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
enemy/bell_priest/walk/0,sprite,Art/Resources/ECArt/enemies.png#enemy/bell_priest/walk/0,"original, generated",Tools/art/gen_enemies.py:build,project-owned (original),
